molecule_chembl_id,trpv1_binding_score,v1_selectivity_score,QED,MW,LogP,TPSA,RotBonds,priority_score,tier
CHEMBL88514,0.946,0.99,0.734,313.397,3.43,58.56,8,0.92,A
CHEMBL294858,0.924,0.99,0.741,335.363,4.04,72.48,2,0.911,A
CHEMBL12675,0.922,0.97,0.748,266.304,3.217,58.95,2,0.905,A
CHEMBL304649,0.896,0.928,0.852,340.349,4.38,58.95,2,0.902,A
CHEMBL318942,0.918,0.864,0.897,322.452,4.224,32.34,2,0.902,A
CHEMBL18740,0.889,0.892,0.912,309.413,3.405,44.37,3,0.9,A
CHEMBL62893,0.896,0.892,0.868,287.363,4.233,67.16,2,0.894,A
CHEMBL81123,0.894,0.912,0.822,392.786,4.178,75.27,3,0.89,A
CHEMBL57714,0.857,0.98,0.77,306.369,3.945,57.26,3,0.884,A
CHEMBL27528,0.862,0.992,0.738,277.327,4.187,54.02,2,0.883,A
