molecule_chembl_id,vina_best_kcal_mol,trpv1_binding_score,v1_selectivity_score,QED,MW,LogP
CHEMBL87370,-9.004,0.92,0.962,0.65,371.362,4.796
CHEMBL81123,-8.63,0.894,0.912,0.822,392.786,4.178
CHEMBL56164,-8.621,0.886,0.988,0.73,297.745,4.532
CHEMBL18103,-8.531,0.946,0.956,0.553,364.449,4.469
CHEMBL27528,-8.378,0.862,0.992,0.738,277.327,4.187
CHEMBL18740,-8.319,0.889,0.892,0.912,309.413,3.405
CHEMBL304649,-8.131,0.896,0.928,0.852,340.349,4.38
CHEMBL63115,-8.122,0.884,0.938,0.845,327.306,4.635
CHEMBL12675,-8.032,0.922,0.97,0.748,266.304,3.217
CHEMBL278924,-8.025,0.934,0.974,0.578,365.433,4.896
